time,year,month,pop,dpopdt,PF,PV,mvd,season1,season2,season3,season4,season5,season6,Min_temp,Max_temp,Mean_temp,hadISD
2003,2003,1,4865065,0,53,152,0.42,0.6666666666666666,0.16666666666666666,0,0,0,0.16666666666666666,14.02,29.35,21.94,37.89
2003.0833333333333,2003,2,4865065,0,19,145,0.25,0.47916666666695085,0.47916666666638247,0.02083333333327649,0,0,0.020833333333390176,16.55,31.31,24.3,41.54
2003.1666666666667,2003,3,4865065,0,13,104,0.92,0.16666666666643923,0.6666666666666665,0.16666666666689403,1.5678998430151447e-38,0,0,19.79,35.93,28.33,28.29
2003.25,2003,4,4865065,0,24,189,0.58,0.02083333333333332,0.4791666666666666,0.47916666666666663,0.02083333333333334,0,0,25.31,40.01,33.3,32.8
2003.3333333333333,2003,5,4865065,0,7,201,0.46,1.5661781376312937e-38,0.16666666666689398,0.6666666666666665,0.1666666666664393,0,0,27.3,41.6,35.12,36.39
2003.4166666666667,2003,6,4865065,0,21,308,1.79,0,0.020833333333276485,0.4791666666663823,0.4791666666669509,0.02083333333339019,0,27.58,38.82,33.72,53.28
2003.5,2003,7,4865065,0,19,611,1.41,0,0,0.1666666666666666,0.6666666666666667,0.16666666666666674,0,25.57,32.98,29.67,74.43
2003.5833333333333,2003,8,4865065,0,131,987,3.04,0,0,0.020833333333390155,0.47916666666695085,0.4791666666663825,0.0208333333332765,25.11,31.95,28.86,74.67
2003.6666666666667,2003,9,4865065,0,188,854,0.45,1.5696228097215656e-38,0,0,0.16666666666643917,0.6666666666666667,0.16666666666689411,24.65,32.63,28.92,69.46
2003.75,2003,10,4865065,0,241,407,0.37,0.020833333333333363,0,0,0.02083333333333329,0.4791666666666665,0.47916666666666674,20.56,35.67,28.42,44.06
2003.8333333333333,2003,11,4865065,0,213,225,0.46,0.16666666666643945,0,0,1.5627385089838848e-38,0.16666666666689392,0.6666666666666665,18.45,33.67,26.2,46.29
2003.9166666666667,2003,12,4865065,0,187,145,0.88,0.479166666666951,0.020833333333390228,0,0,0.02083333333327648,0.4791666666663822,12.53,29.31,21.14,47.82
2004,2004,1,4969074,0,120,82,0.33,0.6666666666666666,0.16666666666666666,0,0,0,0.16666666666666666,12.12,28.13,20.38,48.8
2004.0833333333333,2004,2,4969074,0,73,74,0.06,0.47916666666695085,0.47916666666638247,0.02083333333327649,0,0,0.020833333333390176,13.38,31.72,23.01,40.15
2004.1666666666667,2004,3,4969074,0,41,99,0.17,0.16666666666643923,0.6666666666666665,0.16666666666689403,1.5678998430151447e-38,0,0,20.05,38.56,29.85,27.68
2004.25,2004,4,4969074,0,25,198,0.66,0.02083333333333332,0.4791666666666666,0.47916666666666663,0.02083333333333334,0,0,25.12,40.46,33.45,39.89
2004.3333333333333,2004,5,4969074,0,20,277,0.58,1.5661781376312937e-38,0.16666666666689398,0.6666666666666665,0.1666666666664393,0,0,27.08,40.72,34.54,44.64
2004.4166666666667,2004,6,4969074,0,18,381,1.45,0,0.020833333333276485,0.4791666666663823,0.4791666666669509,0.02083333333339019,0,27.03,38.29,33.19,58.45
2004.5,2004,7,4969074,0,34,499,6.54,0,0,0.1666666666666666,0.6666666666666667,0.16666666666666674,0,26.23,34.99,31.09,69.28
2004.5833333333333,2004,8,4969074,0,187,1231,0.37,0,0,0.020833333333390155,0.47916666666695085,0.4791666666663825,0.0208333333332765,24.61,30.32,27.73,84.68
2004.6666666666667,2004,9,4969074,0,501,994,0.42,1.5696228097215656e-38,0,0,0.16666666666643917,0.6666666666666667,0.16666666666689411,25.37,35.11,30.57,66.39
2004.75,2004,10,4969074,0,334,652,0.37,0.020833333333333363,0,0,0.02083333333333329,0.4791666666666665,0.47916666666666674,21.08,34.25,27.91,58.05
2004.8333333333333,2004,11,4969074,0,607,373,0.33,0.16666666666643945,0,0,1.5627385089838848e-38,0.16666666666689392,0.6666666666666665,18.02,33.44,25.88,49
2004.9166666666667,2004,12,4969074,0,354,228,0.95,0.479166666666951,0.020833333333390228,0,0,0.02083333333327648,0.4791666666663822,14.33,29.89,22.32,53.52
2005,2005,1,5075306,0,173,168,0.08,0.6666666666666666,0.16666666666666666,0,0,0,0.16666666666666666,10.84,26.23,18.79,50.33
2005.0833333333333,2005,2,5075306,0,86,150,0,0.47916666666695085,0.47916666666638247,0.02083333333327649,0,0,0.020833333333390176,13.25,30.2,22.16,47.26
2005.1666666666667,2005,3,5075306,0,65,162,0.32,0.16666666666643923,0.6666666666666665,0.16666666666689403,1.5678998430151447e-38,0,0,20,35.37,28.15,41.56
2005.25,2005,4,5075306,0,42,195,0.77,0.02083333333333332,0.4791666666666666,0.47916666666666663,0.02083333333333334,0,0,21.98,39.66,31.58,24.59
2005.3333333333333,2005,5,5075306,0,46,297,0.78,1.5661781376312937e-38,0.16666666666689398,0.6666666666666665,0.1666666666664393,0,0,25.75,41.31,34.25,37.56
2005.4166666666667,2005,6,5075306,0,21,343,0.2,0,0.020833333333276485,0.4791666666663823,0.4791666666669509,0.02083333333339019,0,26.39,38.44,32.98,53.91
2005.5,2005,7,5075306,0,144,1014,1.62,0,0,0.1666666666666666,0.6666666666666667,0.16666666666666674,0,26.03,32.95,29.87,72.48
2005.5833333333333,2005,8,5075306,0,364,1542,1.7,0,0,0.020833333333390155,0.47916666666695085,0.4791666666663825,0.0208333333332765,23.87,31.71,28.16,73.07
2005.6666666666667,2005,9,5075306,0,570,1012,0.55,1.5696228097215656e-38,0,0,0.16666666666643917,0.6666666666666667,0.16666666666689411,24.38,32.31,28.62,77.78
2005.75,2005,10,5075306,0,528,493,0.27,0.020833333333333363,0,0,0.02083333333333329,0.4791666666666665,0.47916666666666674,20.15,34.85,27.78,61.2
2005.8333333333333,2005,11,5075306,0,486,292,0.21,0.16666666666643945,0,0,1.5627385089838848e-38,0.16666666666689392,0.6666666666666665,14.9,32.9,24.07,55.14
2005.9166666666667,2005,12,5075306,0,234,166,0.55,0.479166666666951,0.020833333333390228,0,0,0.02083333333327648,0.4791666666663822,10.83,28.16,19.72,53.18
2006,2006,1,5183809,0,91,85,0.03,0.6666666666666666,0.16666666666666666,0,0,0,0.16666666666666666,11.68,28.69,20.47,53.59
2006.0833333333333,2006,2,5183809,0,62,73,0.03,0.47916666666695085,0.47916666666638247,0.02083333333327649,0,0,0.020833333333390176,16.19,34.13,25.61,48.77
2006.1666666666667,2006,3,5183809,0,68,120,0.37,0.16666666666643923,0.6666666666666665,0.16666666666689403,1.5678998430151447e-38,0,0,18.51,34.4,26.93,41.72
2006.25,2006,4,5183809,0,22,201,0.15,0.02083333333333332,0.4791666666666666,0.47916666666666663,0.02083333333333334,0,0,23.62,38.83,31.88,43.51
2006.3333333333333,2006,5,5183809,0,13,313,0.2,1.5661781376312937e-38,0.16666666666689398,0.6666666666666665,0.1666666666664393,0,0,27.03,41.44,34.91,50.53
2006.4166666666667,2006,6,5183809,0,43,368,0.82,0,0.020833333333276485,0.4791666666663823,0.4791666666669509,0.02083333333339019,0,27.15,38.11,33.14,62.14
2006.5,2006,7,5183809,0,196,652,0.32,0,0,0.1666666666666666,0.6666666666666667,0.16666666666666674,0,25.51,32.19,29.21,80.23
2006.5833333333333,2006,8,5183809,0,466,1106,0.41,0,0,0.020833333333390155,0.47916666666695085,0.4791666666663825,0.0208333333332765,24.79,30.44,27.88,82.8
2006.6666666666667,2006,9,5183809,0,429,540,0.05,1.5696228097215656e-38,0,0,0.16666666666643917,0.6666666666666667,0.16666666666689411,25.47,33.99,30.02,71.1
2006.75,2006,10,5183809,0,333,162,0.17,0.020833333333333363,0,0,0.02083333333333329,0.4791666666666665,0.47916666666666674,22.31,36.38,29.62,56.44
2006.8333333333333,2006,11,5183809,0,315,150,0.05,0.16666666666643945,0,0,1.5627385089838848e-38,0.16666666666689392,0.6666666666666665,17.35,33.3,25.48,52.98
2006.9166666666667,2006,12,5183809,0,179,67,0.22,0.479166666666951,0.020833333333390228,0,0,0.02083333333327648,0.4791666666663822,14.6,30.14,22.58,56.15
2007,2007,1,5294632,0,59,47,0,0.6666666666666666,0.16666666666666666,0,0,0,0.16666666666666666,13.07,29.06,21.33,50.15
2007.0833333333333,2007,2,5294632,0,29,32,0.17,0.47916666666695085,0.47916666666638247,0.02083333333327649,0,0,0.020833333333390176,16.57,31.9,24.62,48.89
2007.1666666666667,2007,3,5294632,0,37,65,0.27,0.16666666666643923,0.6666666666666665,0.16666666666689403,1.5678998430151447e-38,0,0,19.29,35.93,28.1,36.93
2007.25,2007,4,5294632,0,27,130,0.47,0.02083333333333332,0.4791666666666666,0.47916666666666663,0.02083333333333334,0,0,24.66,41.5,33.8,35.79
2007.3333333333333,2007,5,5294632,0,16,195,0.32,1.5661781376312937e-38,0.16666666666689398,0.6666666666666665,0.1666666666664393,0,0,27.85,42.13,35.66,45.13
2007.4166666666667,2007,6,5294632,0,19,260,0.21,0,0.020833333333276485,0.4791666666663823,0.4791666666669509,0.02083333333339019,0,28.06,38.93,34,58.38
2007.5,2007,7,5294632,0,34,399,0.98,0,0,0.1666666666666666,0.6666666666666667,0.16666666666666674,0,26.11,32.77,29.8,76.53
2007.5833333333333,2007,8,5294632,0,273,766,0.44,0,0,0.020833333333390155,0.47916666666695085,0.4791666666663825,0.0208333333332765,25.28,32.04,28.98,79.79
2007.6666666666667,2007,9,5294632,0,672,664,0.43,1.5696228097215656e-38,0,0,0.16666666666643917,0.6666666666666667,0.16666666666689411,25.34,33.3,29.59,76.87
2007.75,2007,10,5294632,0,499,394,0.1,0.020833333333333363,0,0,0.02083333333333329,0.4791666666666665,0.47916666666666674,20.07,35.1,27.89,58.22
2007.8333333333333,2007,11,5294632,0,278,102,0.29,0.16666666666643945,0,0,1.5627385089838848e-38,0.16666666666689392,0.6666666666666665,16.71,33.54,25.28,52.33
2007.9166666666667,2007,12,5294632,0,161,71,0.31,0.479166666666951,0.020833333333390228,0,0,0.02083333333327648,0.4791666666663822,13.85,28.6,21.42,55.58
2008,2008,1,5407823,0,44,37,0.04,0.6666666666666666,0.16666666666666666,0,0,0,0.16666666666666666,11.7,26.89,19.54,49.89
2008.0833333333333,2008,2,5407823,0,24,44,0.02,0.47916666666695085,0.47916666666638247,0.02083333333327649,0,0,0.020833333333390176,10.9,28.7,20.25,42.96
2008.1666666666667,2008,3,5407823,0,22,79,0.1,0.16666666666643923,0.6666666666666665,0.16666666666689403,1.5678998430151447e-38,0,0,19.48,36.5,28.49,39.34
2008.25,2008,4,5407823,0,20,148,0,0.02083333333333332,0.4791666666666666,0.47916666666666663,0.02083333333333334,0,0,23.29,38.88,31.76,39.52
2008.3333333333333,2008,5,5407823,0,15,292,0.08,1.5661781376312937e-38,0.16666666666689398,0.6666666666666665,0.1666666666664393,0,0,26.37,40.68,34.19,45.99
2008.4166666666667,2008,6,5407823,0,6,330,0.1,0,0.020833333333276485,0.4791666666663823,0.4791666666669509,0.02083333333339019,0,26.84,37.09,32.45,60.62
