time,year,month,PF,pop,season1,season2,season3,season4,season5,season6,dpopdt,ERA5,GSOD,IMD,ERA5_RF,GSOD_RF,hadISD,ERA5_hourly
2004.4167,2004,6,35,3414683.816,0,0.0208,0.4792,0.4792,0.0208,0,0,79.237,77.931,74.037,75.19,75.89372,78.5,78.15548798004211
2004.5,2004,7,189,3414683.816,0,0,0.1667,0.6667,0.1667,0,0,84.353,85.016,80.811,81.6,78.28879,85.36,85.26474579341702
2004.5833,2004,8,527,3414683.816,0,0,0.0208,0.4792,0.4792,0.0208,0,87.162,88.521,84.121,85.19,84.444,88.64,87.01061028823713
2004.6667,2004,9,616,3414683.816,0,0,0,0.1667,0.6667,0.1667,0,80.304,78.159,74.195,75.21,76.23353,78.96,81.30581064452771
2004.75,2004,10,436,3414683.816,0.0208,0,0,0.0208,0.4792,0.4792,0,56.318,65.113,61.934,61.88,62.39532,68.06,61.30940248742883
2004.8333,2004,11,327,3414683.816,0.1667,0,0,0,0.1667,0.6667,0,46.244,57.579,54.783,54.99,56.71025,60.49,48.01004796911149
2004.9167,2004,12,336,3414683.816,0.4792,0.0208,0,0,0.0208,0.4792,0,46.706,55.343,52.598,54.59,53.33221,58.7,50.15120054460932
2005,2005,1,165,3615643.006,0.6667,0.1667,0,0,0,0.1667,200959.18999999992,47.538,53.395,53.484,53.59,53.63517,56.13,49.36025216252164
2005.0833,2005,2,72,3615643.006,0.4792,0.4792,0.0208,0,0,0.0208,0,44.926,51.865,51.929,51.11,52.02717,55.15,51.985027781896136
2005.1667,2005,3,43,3615643.006,0.1667,0.6667,0.1667,0,0,0,0,43.714,52.2,52.194,51.98,52.30782,56.9,50.1729332071191
2005.25,2005,4,29,3615643.006,0.0208,0.4792,0.4792,0.0208,0,0,0,43.58,51.297,51.367,51.28,51.46117,54.76,47.15189214892955
2005.3333,2005,5,30,3615643.006,0,0.1667,0.6667,0.1667,0,0,0,66.038,68.062,68.064,68.68,68.38847,70.01,63.5876471372851
2005.4167,2005,6,40,3615643.006,0,0.0208,0.4792,0.4792,0.0208,0,0,75.802,76.577,76.7,76.09,77.50165,76.84,73.81647307525483
2005.5,2005,7,84,3615643.006,0,0,0.1667,0.6667,0.1667,0,0,84.728,82.686,82.645,83.41,82.88907,82.66,85.60809315981255
2005.5833,2005,8,265,3615643.006,0,0,0.0208,0.4792,0.4792,0.0208,0,85.407,84.337,84.355,84.72,84.21936,84.17,85.84551233146217
2005.6667,2005,9,618,3615643.006,0,0,0,0.1667,0.6667,0.1667,0,84.653,85.87,85.8,84.93,85.38851,86.36,85.71346739114766
2005.75,2005,10,612,3615643.006,0.0208,0,0,0.0208,0.4792,0.4792,0,57.442,65.043,64.581,64.07,63.61181,67.73,61.538592140694945
2005.8333,2005,11,400,3615643.006,0.1667,0,0,0,0.1667,0.6667,0,40.526,53.176,54.917,53.64,54.52366,57.76,46.14312437930141
2005.9167,2005,12,311,3615643.006,0.4792,0.0208,0,0,0.0208,0.4792,0,43.978,53.773,53.839,53.1,53.69883,56.9,46.70156888035875
2006,2006,1,161,3828428.941,0.6667,0.1667,0,0,0,0.1667,212785.93500000008,41.567,52.691,53.731,53.09,54.37782,56.64,48.2853082341152
2006.0833,2006,2,82,3828428.941,0.4792,0.4792,0.0208,0,0,0.0208,0,33.881,49.27,49.944,47.73,50.62886,53.42,43.32210283908719
2006.1667,2006,3,47,3828428.941,0.1667,0.6667,0.1667,0,0,0,0,44.782,50.425,51.494,50.73,51.23997,54.75,49.709425847563196
2006.25,2006,4,32,3828428.941,0.0208,0.4792,0.4792,0.0208,0,0,0,60.1,62.575,63.682,64.8,62.20803,65.81,59.462536496880354
2006.3333,2006,5,51,3828428.941,0,0.1667,0.6667,0.1667,0,0,0,70.289,72.263,73.61,73.39,73.91171,73.46,67.90438747542954
2006.4167,2006,6,84,3828428.941,0,0.0208,0.4792,0.4792,0.0208,0,0,77.565,77.374,79.455,78.62,79.21717,78.11,74.68683166017688
2006.5,2006,7,214,3828428.941,0,0,0.1667,0.6667,0.1667,0,0,86.532,87.014,88.641,87.49,87.57424,87.19,87.01543403836838
2006.5833,2006,8,1012,3828428.941,0,0,0.0208,0.4792,0.4792,0.0208,0,86.917,88.861,90.61,86.95,88.14096,88.69,86.75617933405633
2006.6667,2006,9,1434,3828428.941,0,0,0,0.1667,0.6667,0.1667,0,82.77,82.731,84.278,81.31,84.06066,83.43,84.08883173708217
2006.75,2006,10,577,3828428.941,0.0208,0,0,0.0208,0.4792,0.4792,0,59.419,68.319,69.525,67.54,69.16631,70.77,65.96122541679145
2006.8333,2006,11,670,3828428.941,0.1667,0,0,0,0.1667,0.6667,0,48.918,58.443,59.466,57.45,59.89161,61.36,50.22721048965205
2006.9167,2006,12,531,3828428.941,0.4792,0.0208,0,0,0.0208,0.4792,0,51.035,62.373,63.437,62.15,62.34081,65,55.44187083692741
2007,2007,1,221,4053737.643,0.6667,0.1667,0,0,0,0.1667,225308.70200000005,46.449,56.189,53.476,52.42,53.79549,58.96,51.23061021495529
2007.0833,2007,2,86,4053737.643,0.4792,0.4792,0.0208,0,0,0.0208,0,54.351,62.456,59.68,58.72,60.14771,65.48,61.543372431761746
2007.1667,2007,3,52,4053737.643,0.1667,0.6667,0.1667,0,0,0,0,39.738,47.503,57.728,55.18,53.98923,51.05,44.72582585537601
2007.25,2007,4,43,4053737.643,0.0208,0.4792,0.4792,0.0208,0,0,0,54.639,60.251,66.5,63.4,64.25539,63.8,56.294983276691205
2007.3333,2007,5,98,4053737.643,0,0.1667,0.6667,0.1667,0,0,0,68.91,69.336,74.353,74.06,73.52842,71.01,66.00568468713597
2007.4167,2007,6,80,4053737.643,0,0.0208,0.4792,0.4792,0.0208,0,0,78.926,78.362,81.302,79.47,79.99669,79.02,77.69279757207728
2007.5,2007,7,161,4053737.643,0,0,0.1667,0.6667,0.1667,0,0,84.246,85.712,83.347,83.36,82.30353,85.91,85.53046756001774
2007.5833,2007,8,529,4053737.643,0,0,0.0208,0.4792,0.4792,0.0208,0,86.686,87.829,81.225,82.21,82.26326,88.21,87.48542505080687
2007.6667,2007,9,886,4053737.643,0,0,0,0.1667,0.6667,0.1667,0,83.132,85.641,61.338,69.15,70.6256,86.09,84.90265968635464
2007.75,2007,10,1107,4053737.643,0.0208,0,0,0.0208,0.4792,0.4792,0,53.604,64.538,58.837,60.11,61.74185,67.9,61.553963400204516
2007.8333,2007,11,689,4053737.643,0.1667,0,0,0,0.1667,0.6667,0,49.219,62.025,54.518,54.94,58.62004,65.72,59.486750646772684
2007.9167,2007,12,435,4053737.643,0.4792,0.0208,0,0,0.0208,0.4792,0,48.827,57.32,53.415,55.03,55.81828,59.72,52.27426026775168
2008,2008,1,163,4072928,0.6667,0.1667,0,0,0,0.1667,19190.356999999844,46.365,56.135,45.724,48.82,49.15641,59.43,52.101091752048774
2008.0833,2008,2,57,4072928,0.4792,0.4792,0.0208,0,0,0.0208,0,36.219,45.854,46.724,46.15,46.90973,49.92,43.839882599220225
2008.1667,2008,3,28,4072928,0.1667,0.6667,0.1667,0,0,0,0,46.293,56.943,56.613,55.56,58.03249,60.86,54.6801191192085
2008.25,2008,4,57,4072928,0.0208,0.4792,0.4792,0.0208,0,0,0,54.563,59.556,59.567,61.04,60.16276,63.45,56.78568377873579
2008.3333,2008,5,39,4072928,0,0.1667,0.6667,0.1667,0,0,0,71.414,74.44,74.516,74.05,74.91193,75.19,68.69154696685868
2008.4167,2008,6,66,4072928,0,0.0208,0.4792,0.4792,0.0208,0,0,81.253,83.343,83.333,82.57,83.58204,83.59,81.69720524419373
2008.5,2008,7,284,4072928,0,0,0.1667,0.6667,0.1667,0,0,85.628,86.516,86.548,85.86,86.37894,86.52,86.49562858965436
2008.5833,2008,8,528,4072928,0,0,0.0208,0.4792,0.4792,0.0208,0,85.023,85.718,85.733,85.83,83.09091,85.98,85.51953725966189
2008.6667,2008,9,1521,4072928,0,0,0,0.1667,0.6667,0.1667,0,82.787,84.234,84.133,81.26,84.13944,84.86,84.41704601596814
2008.75,2008,10,1058,4072928,0.0208,0,0,0.0208,0.4792,0.4792,0,58.744,67.039,66.742,65.04,67.9057,70.02,66.8124615705409
2008.8333,2008,11,618,4072928,0.1667,0,0,0,0.1667,0.6667,0,46.317,54.024,54.067,54.05,53.64657,57.12,49.28195007687645
2008.9167,2008,12,230,4072928,0.4792,0.0208,0,0,0.0208,0.4792,0,50.788,60.222,60.267,60.91,62.41737,63.15,56.18006372651412
2009,2009,1,208,4243741,0.6667,0.1667,0,0,0,0.1667,170813,50.029,61.56,64.694,61.86,63.22748,64.26,55.51902255188028
2009.0833,2009,2,115,4243741,0.4792,0.4792,0.0208,0,0,0.0208,0,42.496,54.245,57.113,54.77,55.69106,58.71,52.15545264185156
2009.1667,2009,3,95,4243741,0.1667,0.6667,0.1667,0,0,0,0,41.61,49.59,52.64,52.53,51.68089,54.45,49.34684982528308
2009.25,2009,4,39,4243741,0.0208,0.4792,0.4792,0.0208,0,0,0,41.367,48.998,51.305,51.62,51.28912,52.04,43.801180176875704
2009.3333,2009,5,40,4243741,0,0.1667,0.6667,0.1667,0,0,0,68.978,71.661,75.329,74.51,74.09107,73.22,67.13251600830961
2009.4167,2009,6,60,4243741,0,0.0208,0.4792,0.4792,0.0208,0,0,74.543,75.433,79.148,77.66,79.53054,75.8,72.35492155084205
2009.5,2009,7,145,4243741,0,0,0.1667,0.6667,0.1667,0,0,86.313,89.507,93.992,90.46,92.01336,89.73,86.69579715807416
2009.5833,2009,8,580,4243741,0,0,0.0208,0.4792,0.4792,0.0208,0,83.814,82.812,87.01,84.84,85.69862,83.09,84.29620434786209
2009.6667,2009,9,741,4243741,0,0,0,0.1667,0.6667,0.1667,0,77.94,78.746,82.6,80.6,82.74094,79.5,79.52366466194506
2009.75,2009,10,714,4243741,0.0208,0,0,0.0208,0.4792,0.4792,0,52.414,64.438,67.505,64.73,65.29573,67.68,57.236101072721375
