date,temp,dewp
19960101T00,20.058706665039082,16.573768107096374
19960101T01,19.833832804361997,16.615772501627628
19960101T02,19.699949137369813,16.662013753255227
19960101T03,20.770681762695336,16.761168416341167
19960101T04,22.661475626627627,16.952318318684917
19960101T05,24.522918701171896,16.94777119954429
19960101T06,25.937613932291686,16.686470540364603
19960101T07,26.814983113606793,16.514032999674505
19960101T08,27.023754882812526,16.298563639322936
19960101T09,26.94707641601564,16.114939371744814
19960101T10,26.98615010579429,15.999201456705752
19960101T11,26.61874898274741,15.935236612955748
19960101T12,26.113193766276066,16.036279296875023
19960101T13,25.121382649739605,16.45082702636721
19960101T14,24.203052775065125,16.77334187825523
19960101T15,23.644816080729186,16.78573201497398
19960101T16,23.20830078125002,16.60916239420575
19960101T17,22.89585469563804,16.351514689127626
19960101T18,22.35096435546877,16.19556274414065
19960101T19,21.83335367838544,16.757740275065125
19960101T20,21.3455271402995,16.774539184570333
19960101T21,20.96112976074221,16.844721476237
19960101T22,20.673074340820335,16.92645263671877
19960101T23,20.43874918619794,17.001523844401063
19960102T00,20.29491882324221,17.069216918945333
19960102T01,20.029577636718773,17.116925048828147
19960102T02,19.853113810221377,17.195161946614604
19960102T03,20.781901041666686,17.34151916503908
19960102T04,22.513471476236994,17.489009602864606
19960102T05,24.328857421875025,17.512009684244813
19960102T06,25.81906738281252,17.18594462076825
19960102T07,26.20882771809898,16.682508341471372
19960102T08,26.715551757812523,16.283563232421894
19960102T09,26.93509724934898,16.00491943359377
19960102T10,26.79924519856773,16.121030680338563
19960102T11,26.39903767903648,16.262202962239606
19960102T12,25.597034708658878,16.523015340169295
19960102T13,24.281705729166685,17.048899332682314
19960102T14,23.4589060465495,17.108846028645853
19960102T15,23.061976114908873,16.828484090169294
19960102T16,22.757577514648464,16.451310221354188
19960102T17,22.353108723958353,16.24551493326825
19960102T18,21.78809102376304,16.381250000000023
19960102T19,21.31593221028648,16.518435668945337
19960102T20,20.777170817057314,16.764918009440123
19960102T21,20.300391642252627,16.91609090169273
19960102T22,19.860862223307315,17.004817708333352
19960102T23,19.431027221679713,17.044910685221375
19960103T00,19.056769816080752,17.062947591145857
19960103T01,18.742827351888042,17.06212361653648
19960103T02,18.510128784179713,17.055566406250023
19960103T03,19.660373942057316,17.105788167317733
19960103T04,21.985091145833355,17.264982096354185
19960103T05,24.277496337890643,17.322157796223983
19960103T06,26.06860555013023,16.874833170572938
19960103T07,27.190229288737,16.580528767903665
19960103T08,27.78404134114586,16.24859619140627
19960103T09,28.17181091308596,15.998711140950544
19960103T10,28.350012207031266,15.590146891276063
19960103T11,28.162379964192727,15.466460164388042
19960103T12,27.584022013346377,15.63977050781252
19960103T13,26.048452758789082,16.148963419596377
19960103T14,24.98817342122398,16.326085408528666
19960103T15,24.381769816080748,16.190779622395855
19960103T16,23.87780965169273,16.01932576497398
19960103T17,23.329225667317726,15.951854451497418
19960103T18,22.74359639485679,16.02993876139325
19960103T19,22.1189646402995,16.349913533528667
19960103T20,21.657203165690127,16.61412048339846
19960103T21,21.295391845703147,16.82592061360679
19960103T22,21.004635620117206,16.99780476888023
19960103T23,20.741833496093772,17.100320434570335
19960104T00,20.511958821614602,17.130489095052106
19960104T01,20.28664347330731,17.118047078450545
19960104T02,20.116437784830747,17.0831970214844
19960104T03,21.17327575683596,17.118562825520858
19960104T04,23.182993570963568,17.21126505533856
19960104T05,25.345026652018245,17.295376586914085
19960104T06,27.100503540039085,17.389508056640643
19960104T07,28.028174845377627,17.275875854492206
19960104T08,28.696495564778665,16.65715738932294
19960104T09,28.97999471028648,16.32585652669273
19960104T10,29.03516235351565,16.17286885579429
19960104T11,28.83929443359377,16.157482910156272
19960104T12,28.11650187174481,16.41715596516929
19960104T13,26.560354614257832,16.940029907226585
19960104T14,25.518505859375022,17.210404459635434
19960104T15,24.825263468424502,17.30261433919273
19960104T16,24.185139973958353,17.30110066731773
19960104T17,23.610464477539082,17.23487548828127
19960104T18,23.13072509765627,17.116538492838565
19960104T19,22.277459716796894,16.77834879557294
19960104T20,21.74073384602867,16.71970926920575
19960104T21,21.366595458984396,16.723675537109397
19960104T22,21.11497802734377,16.770037841796896
19960104T23,20.823578898112,16.840866088867205
19960105T00,20.512790934244812,16.91631062825523
19960105T01,20.17282918294273,16.94951171875002
19960105T02,19.81931660970054,17.004430135091166
19960105T03,20.93013203938804,17.108830769856787
19960105T04,23.03822021484377,17.25144449869794
19960105T05,24.902386474609393,17.391805013020853
19960105T06,26.441416422526064,17.43760172526044
19960105T07,27.202018229166686,17.104885864257835
19960105T08,27.72618611653648,16.81135457356773
19960105T09,27.8116638183594,16.42005818684898
19960105T10,27.597374471028665,16.17091573079429
19960105T11,26.948404947916682,16.278697713216168
19960105T12,25.95203653971356,16.61611328125002
19960105T13,24.427040608723974,17.194217936197937
19960105T14,23.48245035807294,17.495052083333356
19960105T15,22.813997395833358,17.573601277669294
19960105T16,21.947675577799497,17.619286092122415
19960105T17,21.64093119303387,17.534560139973983
19960105T18,21.330736287434917,17.551082356770852
19960105T19,19.73414001464846,18.683763631184917
19960105T20,19.6000427246094,18.753744506835957
19960105T21,19.487117513020856,18.58915201822919
19960105T22,19.558714803059914,18.149896240234394
19960105T23,19.523888142903672,17.31566365559898
19960106T00,19.351321411132833,16.59197285970054
19960106T01,19.06017252604169,16.298143513997417
19960106T02,18.72286783854169,16.384890747070333
19960106T03,19.815350341796897,16.680142211914085
19960106T04,21.992224121093773,16.90027262369794
19960106T05,24.265038045247422,17.05118815104169
19960106T06,26.24786071777346,16.411032104492207
19960106T07,27.08509012858075,15.155831909179708
19960106T08,27.549374389648456,14.59949442545575
19960106T09,27.685558064778668,14.133115641276063
19960106T10,27.721809895833353,13.703300984700542
19960106T11,27.435418701171898,13.280980428059918
19960106T12,26.583249918619813,13.249109903971377
19960106T13,24.90768127441408,13.832515462239604
19960106T14,23.899220784505232,14.030739339192733
19960106T15,23.339050292968768,14.038171386718773
19960106T16,22.90083719889325,14.041140747070335
19960106T17,22.451295979817733,14.130020141601586
19960106T18,21.944170125325545,14.257930501302106
19960106T19,21.41577758789065,14.276611328125021
19960106T20,20.911629231770856,14.405292765299501
19960106T21,20.462184651692734,14.470520019531271
19960106T22,20.0580271402995,14.44862467447919
19960106T23,19.638077799479188,14.398951212565128
19960107T00,19.23194783528648,14.42362263997398
19960107T01,18.877149454752622,14.544868977864606
19960107T02,18.557564290364603,14.739940388997418
19960107T03,19.70336710611981,15.089356486002627
19960107T04,22.10935363769534,15.584541829427106
19960107T05,24.55465393066408,15.964304606119816
19960107T06,26.449639892578148,15.93089599609377
19960107T07,26.9053405761719,15.180536905924502
19960107T08,27.521394856770854,14.840181477864604
19960107T09,27.81935017903648,14.698716227213565
19960107T10,27.955374145507832,14.642081705729188
19960107T11,27.747916666666683,14.706371053059918
19960107T12,27.05900065104169,15.09522908528648
19960107T13,25.362780761718778,15.935215250651062
19960107T14,24.292579142252627,16.177483113606794
19960107T15,23.74944864908856,15.88836161295575
19960107T16,23.270161946614603,15.362529500325543
19960107T17,22.74839274088544,14.821559651692729
19960107T18,22.210925292968767,14.361684163411478
19960107T19,21.67777506510419,13.917966715494813
19960107T20,21.150916544596374,13.722026570638041
19960107T21,20.647746785481793,13.585389200846375
19960107T22,20.162102254231794,13.520181274414083
19960107T23,19.723912556966166,13.551909383138042
19960108T00,19.341968790690125,13.70586853027346
19960108T01,19.072400919596376,13.989287312825544
19960108T02,18.908835856119815,14.438484700520855
19960108T03,20.31022949218752,15.159261067708355
19960108T04,23.041129557291686,16.01536051432294
19960108T05,25.380469767252627,16.570506795247418
19960108T06,27.092284138997417,16.8515818277995
19960108T07,28.175582885742205,17.495318603515646
19960108T08,28.765231323242208,16.7894724527995
19960108T09,29.049813842773457,16.264110310872418
19960108T10,28.887603759765646,16.286508178710957
19960108T11,28.407208251953147,16.67113444010419
19960108T12,27.283929443359394,17.253162638346378
19960108T13,25.473565673828148,17.699270629882836
19960108T14,24.42746480305992,17.852530924479186
19960108T15,23.754240926106792,17.87648213704429
19960108T16,23.24943033854169,17.8070017496745
19960108T17,22.68585205078127,17.664361572265644
19960108T18,22.00989786783856,17.53606465657554
19960108T19,21.30851338704429,17.978723144531273
19960108T20,20.680536905924505,17.994416300455747
19960108T21,20.69229125976565,18.02132568359377
19960108T22,20.566740926106792,18.104497273763045
19960108T23,20.115692138671896,18.139222208658875
19960109T00,19.477864583333353,18.010767618815127
19960109T01,18.918215942382833,17.739914957682313
19960109T02,18.507883707682314,17.49250488281252
19960109T03,20.008585611979186,17.80724080403648
19960109T04,22.58233133951825,17.43941446940106
19960109T05,24.5106628417969,17.43402099609377
19960109T06,26.189950561523457,17.179021199544295
19960109T07,26.92388916015627,16.162272135416686
19960109T08,27.551592000325538,15.367586263020854
19960109T09,27.77360534667971,14.813390096028668
19960109T10,27.56969299316408,14.507935587565127
19960109T11,27.123073323567727,14.379905192057313
19960109T12,26.09016621907554,14.987663777669294
19960109T13,24.56644795735679,16.145020548502625
19960109T14,23.421168009440127,17.04284871419273
19960109T15,22.504236857096373,17.750662231445336
19960109T16,21.705369059244813,18.283685302734398
19960109T17,21.116978963216166,18.661097208658873
19960109T18,20.68007812500002,18.868258666992208
19960109T19,20.362495930989603,19.036303710937524
19960109T20,19.989344278971377,19.066541544596372
19960109T21,19.789488728841164,18.973755900065125
19960109T22,19.36626892089846,18.65859273274742
