sigOBS,sigPRO,muS2S1,muEI1,muI1S2,muI2S2,betaOUT,rho,tau,bH,q0,b1,b2,b3,b4,b5,b6,delta,S1_0,E_0,I1_0,S2_0,I2_0,K_0,F_0,alpha,sample,loglik,loglik.se,flag
0.06140286076485981,0.1378254491482658,68.66174069968912,22.265909337983064,10.57790817122109,1.142496533866987,0.0041036259946388,0.00106137574623427,0.00722857097044159,0.3850283568783647,0.812670617282623,-0.1259350846093216,1.1173479639265236,0.9753426279043018,4.592201935274625,2.16623680719238,2.45697692640925,0.02,0.445195685800852,0.07871053497607829,0.03818332343034647,0.26627127004159873,0.17163918575112438,0.1780249008966753,0.05016407883223194,0.9753779138142836,1,-1267.3431298013468,0.6232457276837712,1
0.2440781018002111,0.2191009097274168,42.57693537391875,22.69635644535105,24.452504621257543,5.104349104948055,0.00854009206636033,6.912018291160432e-4,0.13222820786663814,0.00563576457287602,0.9855418531175372,2.192300079342055,0.5641135251467623,3.831444936282737,7.271665007262093,2.1528881120302312,-4.570245683783241,0.02,0.5180573444004314,0.13694307910393597,0.16237876992627895,0.04420903316893497,0.13841177340041882,0.20656788399406248,0.02471320821184575,0.9331350822623482,2,-1268.6437828592525,0.536043317056293,1
0.2283786082851313,0.1976393103999624,242.883283279934,11.113303388803358,55.315688430223034,0.1118048237597664,3.901165166034905e-5,0.00638050099352824,0.07230446723737553,0.3852132001078713,0.5379781770991308,-1.833039310419059,-1.1682108699555904,-0.20880073574633765,3.2823640834404397,1.505788354896909,-1.4907599416581383,0.02,0.28077691288834217,0.02351554023443019,0.1458068164969937,0.11150160853549164,0.43839912184474233,0.1460880338461545,0.5635810091001531,0.8994482879419058,3,-1271.3880647378155,0.18135367188016416,1
0.16570306683736838,0.16657782567097237,255.8534193848425,15.522878426514096,47.74185548321809,0.12412768525880044,7.7002291916448e-4,0.00363837458892015,0.02755006471460028,0.23088276107769953,0.4275237926722727,-0.9846241884079672,0.11590168516639315,-0.03159967015238547,3.624740783279558,2.756972642798371,1.4728228723772756,0.02,0.5561201163186796,0.02779754207722992,0.14890688699947516,0.05872846749814865,0.2084469871064666,0.15761847325002282,0.7219272786016994,0.8326112743589604,4,-1271.8640036594577,0.993299074150906,1
0.22524846367016255,0.16003860368186051,21.553408375510312,9.856333477223748,12.184973529683232,0.1787895075319561,5.782890988789506e-4,0.00422021058725603,0.01883069654986541,0.8215611205247736,0.9975544807638071,-4.900730909345009,1.0418347444347111,-1.1806377237777643,4.609809652380526,0.4818931627936484,2.2536011337979556,0.02,0.3836802189360842,0.05449122378821795,0.06238675581526883,0.3484355334414199,0.15100626801900902,0.07870225664187241,0.02265883281589719,0.9851676583740197,5,-1279.321026585656,0.28912644872495935,1
0.23457217872790231,0.1912557013661998,4.5921035827371055,15.79607792533824,6.186315323613775,0.4527543030618016,2.6914077468811814e-4,0.00611823039454798,0.10754970603245172,0.7928510656448604,0.16626629396585324,-1.5609811633236443,0.22582654418164483,1.6552692765144916,5.448336124902521,0.38104709772082346,-0.3708268970360351,0.02,0.3859776057442877,0.02732224148665741,0.08807475590057116,0.252962661339532,0.24566273552895185,0.39750516591709856,0.1280193346460883,0.9939320304388513,6,-1274.3916149878755,0.3037474262512074,1
0.18089532719983356,0.17024582536904326,36.21909827505387,15.581909282278572,131.90708783286112,0.3178853483932241,9.905492023921955e-4,0.00261377011600422,0.0674187581435214,1.2615360662002049,0.9100872497592788,-3.3100651707728237,0.5828510196668585,-1.0449963968038911,4.299635164959754,0.37905210075334195,2.027020380051488,0.02,0.4924568722299489,0.0577365557031459,0.10033347648999004,0.10858035329259576,0.24089274228431945,0.6085697284273301,0.8404000363079508,0.7217617630995541,7,-1279.9470021687275,0.33073453754641613,1
0.2251217159538882,0.16767022998343364,10.396106834840984,10.554659782973054,438.4607035985284,0.1596321780907069,1.9860640150319417e-5,0.00635073446788817,0.09154007578192616,1.059994935630748,0.9846775231025428,-1.2356448231688637,-1.930202157055806,-0.5383127534142091,2.4707669457676324,1.670358881223371,-5.559964670307097,0.02,0.04602725558302865,0.02571807064109136,0.0657575236841453,0.43969590390924146,0.4228012461824933,0.01377244184220732,0.3738530088685444,0.9186576928298716,8,-1274.5129895337066,0.15463954313897274,1
0.2145583630423284,0.2228329201500296,10.080495471266664,18.772064280137716,3.9710478599296697,1.960040143486687,0.00208991406916197,0.00296904967210631,0.10675056321331867,0.04589565400659205,0.9997315468494756,-1.429883038074489,-1.037800244061103,0.9074666002348792,5.183457936803972,0.8870819897831737,-1.038839302029118,0.02,0.36193488604938073,0.06045199710529658,0.22926195067270455,0.299139461390355,0.04921170478226312,0.4788052150335677,0.4002290107147093,0.9652174121232304,9,-1280.4412213154822,0.12886235205564642,1
0.20637583070388585,0.18532151902357577,12.937401985289767,11.236205628150929,92.74987962815314,0.6835492023502536,4.8442164482651777e-4,0.00334186667668983,0.0909396037463172,1.552932315209998,0.402906844963792,-3.057257556894374,2.3654327648455946,0.15225500444961396,5.754902031621044,0.32249304910325693,1.7620319786584444,0.02,0.02545140846724183,0.03952411710153081,0.01023164445213606,0.7788929309795617,0.14589989899952965,0.03188209444009732,0.940793620567848,0.7805795678252997,10,-1280.8787364216337,0.3963738797310246,1
