sigOBS,sigPRO,muS2S1,muEI1,muI1S2,muI2S2,betaOUT,rho,tau,bH,q0,b1,b2,b3,b4,b5,b6,delta,S1_0,E_0,I1_0,S2_0,I2_0,K_0,F_0,alpha,sample,loglik,loglik.se,flag
0.20575702862549825,0.16432769093102942,9.504479084086308,119.30022340422444,2.6041603674302127,0.7293236521599518,2.197313859494644e-4,0.00682124696346216,0.07334720294320986,-1.5904375723425823,0.8363280965163725,-2.498446033565518,-1.1248343204862112,-3.275711121116222,3.6466660758022456,0.3899718164642515,-0.09535337749009257,0.02,0.20970229751171027,6.745564239270416e-4,0.1320710591505458,0.5942314496599936,0.06332063725382316,0.08601950928544602,0.18058992013673195,0.7648319798,1,-887.2578186372212,0.15346109626462434,1
0.23269261948746925,0.17342335895925198,2.6733827580707836,11.364467352288743,4.106252348109644,3.2584838102271907,6.521187333479966e-5,0.04159100869969898,0.01362764961994665,-1.2557749744004072,0.44112934441848944,-4.439439823760532,0.28760991918100115,-3.8390302092994824,4.447291278888058,-0.43055458360002946,0.1247943864310513,0.02,0.227548475905418,2.7943051077486105e-4,0.06310485363415293,0.6507354701875903,0.05833176976206388,0.07536571900932779,0.3173322199747024,0.7652470737292929,2,-891.3100870158602,0.30494752631774175,1
0.17513900931603749,0.20610859734031373,10.737090913075866,159.50012640608563,2.4579312609807027,2.432871603723138,1.2240262185083883e-4,0.00693947006772305,0.08611579905156602,-0.8919968053680133,0.9429033639405432,-2.347900901420816,-1.3231335838296217,-3.0475503418598,3.3348763817303433,0.8312953585657605,-0.6031783589457569,0.02,0.02821754229820709,1.6864171482678e-4,0.20973595473066364,0.7387981025643645,0.0230797586919378,0.08585523132125931,0.17160416790257774,0.7648319798,3,-888.3341399436696,0.3226052537288513,1
0.17157157694392472,0.14279495383013324,9.56351857153036,21.906369888578467,7.306330704021031,1.632194117853475,9.93250884051246e-5,0.00683327710143785,0.00364602159483341,-0.7632541179152657,0.9505098290231462,-1.8369833559049655,0.24352046773421931,-1.6705929482311723,4.100737722091198,0.7134963439641402,1.2420492993073664,0.02,0.094061090513303,2.2720600682140017e-4,0.10714921027809636,0.7703866234300432,0.02817586977173604,0.23729710286079175,0.21385003458347093,0.7648319798,4,-890.5895233919366,0.16576425549970283,1
0.17666078174435926,0.17400331691532936,3.4539827727099985,21.536808592825423,2.473230201643113,3.2234584891607363,2.122312512029587e-4,0.03406006994387622,0.03465947467039456,-1.1838499639348394,0.7720979406095557,-2.7720218885068846,-1.6256971887413754,-3.970448330795093,3.02948631815335,-0.13133450870902075,-0.5192859469282037,0.02,0.06104131204768129,1.9091110621487217e-4,0.15338760352297087,0.6604876695108534,0.12489250381227956,0.13094016975590336,0.20663345364667868,0.7648319798,5,-890.71182444808,0.15191192476614765,1
0.20114934271503465,0.16813742891138875,5.291773796449773,205.08287653966013,6.615947191701937,2.5874167036339975,7.795379794869321e-5,0.00977766784391526,0.08401886687919852,-0.6432311870044795,0.9968472602280108,-2.5454815680616307,0.4064551015676918,-2.1348955894603425,5.293597095012083,-0.3884632880975563,1.0804745621877634,0.02,0.11627385416976505,1.5169885685196985e-4,0.059660562580601,0.7882536727947006,0.03566021159808137,0.09841422550377496,0.10288871216264918,0.7648319798,6,-891.1018343813012,0.247275651372438,1
0.22372077820982253,0.21433014177770024,4.56001628725439,41.83037642680283,2.870796853229069,16.580431794633522,1.4682396378150518e-4,0.01495008167195584,0.08995316217295983,-1.263194490384814,0.9748171141469814,-2.7948197510512074,-1.2392096930848588,-2.997870052583058,3.854669868250993,0.7395160806030856,-0.9974840351906844,0.02,0.04875732533600631,9.3169167310723e-4,0.14109860925396167,0.7722068603877772,0.03700551334914752,0.06741278110553674,0.1578780895882102,0.7652470737292929,7,-890.9063516068304,0.22891876194172053,1
0.22491504637326756,0.16069297574967983,3.2861316321459393,17.365605263046362,6.9285985170109035,2.923823403914786,4.899090202572199e-4,0.01192452976591614,0.01839023996868578,-1.438917201011612,0.9730562658009356,-1.575176597395991,-0.684143344958247,-1.2888437698667243,4.288866223871752,0.7329652591227723,0.2861763905293492,0.02,0.1546568900192998,4.5060179671862e-4,0.02651293922645627,0.7528315036469875,0.0655480653105378,0.15705709582622848,0.1973023985471585,0.7648319798,8,-892.2137757259673,0.18928888676480124,1
0.18220305167464051,0.23217487649949473,43.26047312110538,65.64737644783486,2.6381232136155295,5.914481825577319,6.718560683716968e-6,0.00497411733570907,0.09143815715029532,-0.7133246673182009,0.4215420750978056,-2.4391714591350366,-1.4180785805526497,-1.9964130469039876,3.1804015201347084,0.6987111788584495,-0.18161115749221507,0.02,0.10027748815867112,4.6486144009473144e-4,0.2014543066090095,0.6683450574938764,0.02945828629834828,0.14217058388250675,0.1964150121703732,0.7648319798,9,-892.2570594293053,0.29788719230332317,1
0.20698148517653597,0.20866066427767432,3.0608810120276053,60.097161598605815,4.0329468449031225,1.7249478536583185,5.774313127350171e-4,0.00820111518542856,0.09634539079347838,-1.5145173352121728,0.9101457253234936,-2.7718478743728334,-0.9831021380735452,-2.026345277571039,4.927560417581084,-0.3069682765428308,0.2431855434419652,0.02,0.2099371385619568,1.0477282913985276e-4,0.13755871287503615,0.6007309682109077,0.05166840752295958,0.17246242146947144,0.154130869701795,0.7652470737292929,10,-890.9234242858811,0.3076599487981409,1
