sigOBS,sigPRO,muS2S1,muEI1,muI1S2,muI2S2,betaOUT,rho,tau,q0,b1,b2,b3,b4,b5,b6,delta,S1_0,E_0,I1_0,S2_0,I2_0,K_0,F_0,alpha,sample,loglik,loglik.se,flag
0.1967155593344618,0.1869189137267524,0.01809108415752482,25.28488658999825,9.162716396977176,0.36596366385253853,3.2178043792001533e-6,0.02691379636301276,0.10817536308416872,0.9991520704638044,-2.326512402967098,-0.17380303927694604,-0.8518585993852625,4.604842539638468,0.7092879266840436,0.20061958509444996,0.02,0.48047416886462735,0.00371523532032523,0.00658485954926566,0.32195780625421866,0.1872679300115631,0.1597083355609759,0.01896015,1.6013536563788446,1,-1272.8781138568268,0.2563214580217533,1
0.20337138688564108,0.1563523396765503,0.15620000175416723,15.073402225957162,2.069680424875274,0.3957193841455019,8.153619489038832e-7,0.02678348977827799,0.05552784350364094,0.967820429883268,-3.5171726842812294,-1.934748567660541,-2.4562540589107824,2.570137713090867,-0.2928231952454211,-0.9955343813854676,0.02,0.21708846150532288,0.00533425565102386,0.03553158709079792,0.24973110670818488,0.49231458904467046,0.2007239480732932,0.01896015,0.9636743437906916,2,-1270.715688451849,0.1865944834676294,1
0.14025839572361273,0.1839111474405075,0.4723918409884853,19.82142307982265,3.8198881096579194,0.5583222703032856,1.4943360516380145e-4,0.01814090760441971,0.04896592125634866,0.9997120864470004,-3.386209871838468,-1.4465322564186445,-2.2268739350750524,2.9532104600380267,-0.2323727421294612,-0.0788915629792306,0.02,0.3656301493722788,0.00242279199925664,0.01675199055396356,0.4941880970958728,0.12100697097862824,0.6102966773501439,0.01896015,0.7980616082494547,3,-1272.6823973122212,0.4218291162342287,1
0.12548941333578012,0.1477900481700984,0.2640238408673796,121.05037275821611,27.56941150297205,4.906544696425612,1.031733105078778e-4,0.01324810068816882,0.06564176355450536,0.9992748683214796,-0.5519230872456229,-0.18244178625996096,0.7531653418161263,4.11542359373693,1.4115406687432663,1.4523229945458778,0.02,0.8435089086358959,0.00169799413452607,0.00935596834047687,0.09703376155475751,0.04840336733434367,0.3314469806543546,0.01896015,0.8181624970010318,4,-1278.6730951769373,0.26227026897795475,1
0.20596646931450707,0.1801856369930156,1.3051415056845723,17.436339961054127,66.15594983822331,1.2375404624231323,4.424634918560432e-5,0.0063750247756304,0.06474054261387018,0.9969359227772988,-0.9404732308867334,-2.0378095628948256,0.2588588190739101,2.3825757378814574,2.1624084006310462,-0.7646205944186907,0.02,0.7921368420111474,0.01163743810001646,0.01896228147464411,0.093320009923434,0.0839434284907582,0.14297690509405525,0.01896015,0.6659194377928996,5,-1281.4098739519627,0.5512441839463657,1
0.07410606992367877,0.16426964641735375,0.0303298421151869,18.766175737348764,118.38750434879648,1.1215082727439054,1.5996346319045013e-5,0.0395575550816324,0.04918518829491977,0.9991421933326448,-3.0222707233109225,-1.6655297986351778,-1.560503717084408,2.290862810563083,0.5513845125998841,-0.42878010409905126,0.02,0.19972279393277084,0.00166411944092547,0.0114719423408637,0.5203856278913921,0.26675551639404793,0.2524382944930533,0.01896015,0.8331967975301455,6,-1274.976414751285,0.6188145247309411,1
0.2691447613070814,0.14340136453249308,0.01146250443950014,20.979616900922,2.527294664951727,24.480971842015457,1.44619967721424e-5,0.01605330282060995,0.1523662114158676,0.9996315639022896,-1.5721769816882631,1.0508103389759504,1.5918263373673611,7.450162017657512,-0.9431782271075868,0.3570162934913777,0.02,0.48776050808002064,0.00568406201051107,0.03015870998262109,0.2486107872661241,0.2277859326607231,0.20338950424704844,0.01896015,1.141267933925192,7,-1277.5934293676487,0.2117412459276992,1
0.2684333679019972,0.17577874626054335,0.00131378027511535,44.64842686024422,367.87261350646855,0.1420626916776313,4.1790310643028456e-5,0.05079199882238665,0.15785804181523735,0.6987757094801574,-3.579624274611306,-0.14020025944686218,-1.91470809820349,4.625180428434735,-0.18961441358187264,-2.1282243970898556,0.02,0.1629935376967838,0.00158352164966703,0.01745403566094329,0.4050105135179702,0.41295839147463587,0.23428472855160645,0.01896015,1.775999182628388,8,-1279.3691801210275,0.2058969474829434,1
0.2149177026648769,0.18127304478635828,0.8370226770288173,49.51281452665751,24.128005686720847,0.02341736352649453,4.075189481603765e-6,0.02164239439946558,0.15246857099837188,0.5604755444793482,-1.3519470323213596,-1.373319751768712,0.3715598413178469,3.670718550049667,1.3478585494565654,-2.2455213565435237,0.02,0.20578357646196865,0.00231054767950619,0.0147060341499307,0.15309289865325126,0.6241069430553431,0.4368675106090424,0.01896015,2.1988746359335014,9,-1275.7195260671415,0.2060669789011772,1
0.17268348216758098,0.16723401627745726,0.03783080141710308,12.288977206851934,0.8792644091693952,0.23720408199410817,3.651465358158691e-5,0.04162346546296964,0.02604405502754089,0.9431174684916442,-5.112666722126984,-2.0330329085615806,-3.083181125375227,2.0573568675684997,-0.3705984814034965,-0.37742738319127767,0.02,0.5639809140429582,0.00323910459231962,0.03845064194788613,0.14374506665025544,0.2505842727665804,0.2011754761727695,0.01896015,1.0808025507856052,10,-1284.3386309966368,0.2101421719078415,1
