name,parameter,mle,ci_low,ci_high,ci_low_truncated,ci_high_truncated,delta,label
b1,$b_1$,0.5350807952340163,-2.8671923199503926,-0.2169591046207593,FALSE,FALSE,2.23901944084574,"0.535 [-2.87, -0.217]"
b2,$b_2$,1.918365077455863,-1.9573608747820774,1.0392016823609822,FALSE,FALSE,2.3588670846896984,"1.92 [-1.96, 1.04]"
b3,$b_3$,1.9929304149442135,-2.026969772974336,1.3534906408564318,FALSE,FALSE,2.326035835956797,"1.99 [-2.03, 1.35]"
b4,$b_4$,3.716127582869112,2.33034152041825,4.4771276101536035,FALSE,FALSE,2.2592664454215625,"3.72 [2.33, 4.48]"
b5,$b_5$,2.261058849585857,0.27751982663697383,1.772105863441121,FALSE,FALSE,2.3588439236430503,"2.26 [0.278, 1.77]"
b6,$b_6$,2.3213593833658113,-1.420075290346377,1.484856771958727,FALSE,FALSE,2.7277874632411514,"2.32 [-1.42, 1.48]"
bH,$b_H$,0.6272213509895007,0.4222214014280148,1.8378603010042962,FALSE,FALSE,2.25744851872645,"0.627 [0.422, 1.84]"
betaOUT,$\beta_{out}$,5.620664209806414e-5,3.0302321739702638e-5,2.1309383502058534e-4,FALSE,FALSE,2.4307325219588325,"5.62e-05 [3.03e-05, 2.13e-04]"
alpha,$\alpha$,0.7974851985777057,3.205573642353383e-4,0.7974851985777057,TRUE,TRUE,NA,"0.797 [<3.21e-04, >0.797]"
S1_0,$S_1^0$,0.2078896643679796,0.05253802675241658,0.7215829094135975,FALSE,TRUE,5.881844512849082,"0.208 [0.0525, >0.722]"
S2_0,$S_2^0$,0.4761705591413887,0.006529466275331214,0.7963450149324223,FALSE,TRUE,8.441484205550385,"0.476 [0.00653, >0.796]"
E_0,$E^0$,0.00251102325361987,0.0019304170317135888,0.00834507307868833,FALSE,FALSE,2.3090859597708175,"0.00251 [0.00193, 0.00835]"
I1_0,$I_1^0$,0.15956982465778743,0.046302333806147254,0.2475373113157548,FALSE,FALSE,2.191632488489747,"0.160 [0.0463, 0.248]"
I2_0,$I_2^0$,0.1538589285792244,0.03529865933227618,0.6668222752541849,FALSE,FALSE,2.901799728233964,"0.154 [0.0353, 0.667]"
F_0,$F^0$,0.4486479285646001,0.08452699241982331,0.5431541298353069,FALSE,FALSE,3.0545629573788404,"0.449 [0.0845, 0.543]"
K_0,$K^0$,0.0256668968111561,0.1385088185807898,0.32072048209909515,FALSE,FALSE,2.0468860731089595,"0.0257 [0.139, 0.321]"
muEI1,$\mu_{EI1}$,77.42492881413126,14.099941805765575,27.030315555033603,FALSE,FALSE,2.162606833716244,"77.4 [14.1, 27.0]"
muS2S1,$\mu_{S2S1}$,0.10939783628185384,0.005237237679566671,26.125053545732744,FALSE,FALSE,2.752861084529522,"0.109 [0.00524, 26.1]"
muI1S2,$\mu_{I1S2}$,163.662843661834,1.9461697772821904,40.383365057477114,FALSE,FALSE,2.3332110036373357,"164 [1.95, 40.4]"
muI2S2,$\mu_{I2S2}$,16.467648828841785,0.16391939664699745,85.64833985002464,FALSE,FALSE,2.737007154491872,"16.5 [0.164, 85.6]"
q0,$q_0$,0.8692961144386437,0.29996127714744536,0.9664322808316697,FALSE,FALSE,2.230928661509244,"0.869 [0.300, 0.966]"
rho,$\rho$,0.01794466484433685,0.01005366535718447,0.019893146876721744,TRUE,FALSE,3.1200219573794024,"0.0179 [<0.0101, 0.0199]"
tau,$\tau$,0.03874638786317092,0.04039290765823892,0.0929388472882029,FALSE,FALSE,2.401154676877956,"0.0387 [0.0404, 0.0929]"
sigOBS,$\sigma_{obs}$,0.1694251505421685,0.08926811199268463,0.17175460023969832,FALSE,FALSE,4.038731868423054,"0.169 [0.0893, 0.172]"
sigPRO,$\sigma_{proc}$,0.07188144347803514,0.048707988836805355,0.3619987398117152,FALSE,FALSE,16.317702075119122,"0.0719 [0.0487, 0.362]"
